State,2009–15,ATUS
HI,25.2,0.45
ND,24.8,0.46
CO,23.8,0.41
AK,23.1,0.61
CA,22.9,0.38
MA,22.5,0.4
MT,22,0.5
UT,21.8,0.41
AZ,21.6,0.33
ID,21.5,0.35
OR,21.4,0.36
CT,20.9,0.31
NE,20.1,0.3
MD,19.6,0.37
WY,19.5,0.54
NJ,19.4,0.31
DC,19.1,0.36
IL,18.7,0.34
WA,18.6,0.35
FL,18.2,0.32
MN,18.2,0.37
NY,18.2,0.33
SC,18.1,0.35
NM,18,0.31
WV,17.8,0.38
VA,17.5,0.33
WI,17.5,0.32
RI,16.8,0.28
NH,16.7,0.42
GA,16.6,0.26
IA,16.6,0.36
KS,16.6,0.23
VT,16.6,0.33
ME,16.5,0.32
TX,16.5,0.3
MI,16.4,0.34
NC,16.4,0.35
PA,16.4,0.32
DE,16.2,0.16
NV,16,0.25
OH,15.7,0.25
MO,15.6,0.32
IN,14.7,0.3
OK,14.7,0.36
SD,14.6,0.36
LA,14.4,0.3
AR,14.3,0.26
TN,14.2,0.31
KY,14.1,0.29
AL,11.2,0.28
MS,10.9,0.24
